lineName,stationName,dayID,startTime,stopTime,frequency
blue,Jabaquara,1,4:40,0:06,0:03
blue,Jabaquara,0,4:40,1:00,0:03
blue,Jabaquara,2,4:40,0:06,0:03
blue,Conceição,1,4:40,0:08,0:03
blue,Conceição,0,4:40,1:00,0:03
blue,Conceição,2,4:40,0:08,0:03
blue,São Judas,1,4:40,0:10,0:03
blue,São Judas,0,4:40,1:00,0:03
blue,São Judas,2,4:40,0:10,0:03
blue,Saúde,1,4:40,0:12,0:03
blue,Saúde,0,4:40,1:00,0:03
blue,Saúde,2,4:40,0:12,0:03
blue,Praça da Árvore,1,4:40,0:14,0:03
blue,Praça da Árvore,0,4:40,1:00,0:03
blue,Praça da Árvore,2,4:40,0:14,0:03
blue,Santa Cruz,1,4:40,0:16,0:03
blue,Santa Cruz,0,4:40,1:00,0:03
blue,Santa Cruz,2,4:40,0:16,0:03
blue,Vila Mariana,1,4:40,0:18,0:03
blue,Vila Mariana,0,4:40,1:00,0:03
blue,Vila Mariana,2,4:40,0:18,0:03
blue,Ana Rosa,1,4:40,0:20,0:03
blue,Ana Rosa,0,4:40,1:00,0:03
blue,Ana Rosa,2,4:40,0:20,0:03
blue,Paraíso,1,4:40,0:22,0:03
blue,Paraíso,0,4:40,1:00,0:03
blue,Paraíso,2,4:40,0:22,0:03
blue,Vergueiro,1,4:40,0:24,0:03
blue,Vergueiro,0,4:40,1:00,0:03
blue,Vergueiro,2,4:40,0:24,0:03
blue,São Joaquim,1,4:40,0:26,0:03
blue,São Joaquim,0,4:40,1:00,0:03
blue,São Joaquim,2,4:40,0:26,0:03
blue,Liberdade,1,4:40,0:28,0:03
blue,Liberdade,0,4:40,1:00,0:03
blue,Liberdade,2,4:40,0:28,0:03
blue,Sé,1,4:40,0:29,0:03
blue,Sé,0,4:40,1:00,0:03
blue,Sé,2,4:40,0:29,0:03
blue,São Bento,1,4:40,0:32,0:03
blue,São Bento,0,4:40,1:00,0:03
blue,São Bento,2,4:40,0:32,0:03
blue,Luz,1,4:40,0:30,0:03
blue,Luz,0,4:40,1:00,0:03
blue,Luz,2,4:40,0:30,0:03
blue,Tiradentes,1,4:40,0:28,0:03
blue,Tiradentes,0,4:40,1:00,0:03
blue,Tiradentes,2,4:40,0:28,0:03
blue,Armênia,1,4:40,0:26,0:03
blue,Armênia,0,4:40,1:00,0:03
blue,Armênia,2,4:40,0:26,0:03
blue,Portuguesa-Tietê,1,4:40,0:24,0:03
blue,Portuguesa-Tietê,0,4:40,1:00,0:03
blue,Portuguesa-Tietê,2,4:40,0:24,0:03
blue,Carandiru,1,4:40,0:22,0:03
blue,Carandiru,0,4:40,1:00,0:03
