name,displayName,number,color,companyName,iconURL,imgURL,tarifa
blue,Linha 1,1,Blue,Metrô,linha1icon,linha1,2.9
coral ,Linha 11,11,Coral,CPTM,linha11icon,linha11,2.9
coralexpress,Linha 11 - West Express,11,Coral,CPTM,linha11icon,linha11e,2.9
diamond,Linha 8,8,Diamond,CPTM,linha8icon,linha8,2.9
diamond2,Linha 8,8,Diamond,CPTM,linha8icon,onibusespecial,2.9
emerald,Linha 9,9,Emerald,CPTM,linha9icon,linha9,2.9
et1,Tourist Express,,,CPTM,expturisticon,expturist,30
et2,Tourist Express,,,CPTM,expturisticon,expturist,30
et3,Tourist Express,,,CPTM,expturisticon,expturist,30
green,Linha 2,2,Green,Metrô,linha2icon,linha2,2.9
lilac,Linha 5,5,Lilac,Metrô,linha5icon,linha5,2.9
orca1,Orca Bridge,,,EMTU,,orca,0
orca2,Orca Bridge,,,EMTU,,orca,0
orca3,Orca Bridge,,,EMTU,,orcatarif,4.4
paulistanode,,,,Metrô,,,0
red,Linha 3,3,Red ,Metrô,linha3icon,linha3,2.9
ruby1,Linha 7,7,Ruby,CPTM,linha7icon,linha7,2.9
ruby2,Linha 7,7,Ruby,CPTM,linha7icon,linha7,2.9
saffire,Linha 12,12,Saffire,CPTM,linha12icon,linha12,2.9
turquoise,Linha 10,10,Turquoise,CPTM,linha10icon,linha10,2.9
yellow ,Linha 4,4,Yellow,ViaQuatro,linha4icon,linha4,2.9
abd284,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS)/ SANTO ANDRE(TERMINAL METROPOLITANO SANTO ANDRE OESTE),284,,ABD,,,2.9
abd284M,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS)/SAO BERNARDO DO CAMPO (SHOPPING METROPOLE),248M,,ABD,,,2.9
abd285,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS)/SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),285,,ABD,,,2.9
abd286,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE)/SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),286,,ABD,,,2.9
abd287,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE)/DIADEMA (TERMINAL METROPOLITANO DIADEMA),287,,ABD,,,2.9
abd287p,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE)/DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),287PIR,,ABD,,,2.9
abd288,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS)/SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),288,,ABD,,,2.9
abd288p,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS)/DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),288PIR,,ABD,,,2.9
abd289,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA)/SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),289,,ABD,,,2.9
abd290,DIADEMA (TERMINAL METROPOLITANO DIADEMA)/SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),290,,ABD,,,2.9
abd376,DIADEMA (TERMINAL METROPOLITANO DIADEMA)/SAO PAULO (ESTACAO CPTM BERRINI),376,,ABD,,,2.9
abd376M,DIADEMA (TERMINAL METROPOLITANO DIADEMA)/SAO PAULO (MORUMBI),376M,,ABD,,,2.9
abd487,MAUA (TERMINAL METROPOLITANO SONIA MARIA)/SANTO ANDRE (SHOPPING ABC),487,,ABD,,,2.9
abs257,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO)/SAO PAULO (METRO TATUAPE - TERMINAL NORTE),257,,ABS,,,4.05
abs258,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO)/SAO PAULO (AEROPORTO DE CONGONHAS),258,,ABS,,,33
abs259,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO)/SAO PAULO (PRACA DA REPUBLICA),259,,ABS,,,33
abs299,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO)/SAO PAULO (METRO TATUAPE - TERMINAL NORTE)/VIA SAO PAULO (AVENIDA ASSIS RIBEIRO) ,299,,ABS,,,4.05
abs472,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO)/SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA) VIA SAO PAULO (TERMINAL RODOVIARIO TIETE),472,,ABS,,,33
,,,,,,,
,,,,,,,
