name,displayName,mapURL,bikeRack,bikePark,bikeLoan,parking,elevator
Água Branca,Água Branca,,,,,,
Alto do Ipiranga,Alto do Ipiranga,alto_ipiranga,,,,,1
Amador Bueno,Amador Bueno,,,,,,
Ambuitá,Ambuitá,,,,,,
Ana Rosa,Ana Rosa,fgana_rosa,,,,,1
Anhangabaú,Anhangabaú,fganhang,,,1,,1
Antônio Gianetti Neto,Antônio Gianetti Neto,,,,,,1
Antônio João,Antônio João,,,,,,
Aracaré,Aracaré,,,,,,
Armênia,Armênia,fgarmenia,,,1,,1
Artur Alvim,Artur Alvim,fgalvin,,1,,,1
Autódromo,Autódromo,,1,,,,1
Baltazar Fidélis,Baltazar Fidélis,,,,,,
Barueri,Barueri,,,,,,
Belém,Belém,fgbelem,,1,,,1
Berrini,Berrini,,,,,,1
Botujuru,Botujuru,,,,,,
Brás,Brás,fgmabras,,,1,1,1
Brás Cubas,Brás Cubas,,,,,,
Bresser-Moóca,Bresser-Moóca,fgbresser,,,,1,1
Brigadeiro,Brigadeiro,fgbrigadeiro,,,,,1
Butantã,Butantã,,1,,,,1
Caieiras,Caieiras,,1,,,,
Calmon Viana,Calmon Viana,,1,,,,1
Campo Limpo,Campo Limpo,mp_campo_limpo,,1,,,1
Campo Limpo Paulista,Campo Limpo Paulista,,,,,,
Capão Redondo,Capão Redondo,mp_capao_redondo,,1,,,1
Capuava,Capuava,,,,,,
Carandiru,Carandiru,fgmacara,,,,,
Carapicuíba,Carapicuíba,fgmacarr,,,,,
Carrão,Carrão,,,,1,,1
Ceasa,Ceasa,,1,,,,1
Chácara Klabin,Chácara Klabin,chacara_klabin,,,,,1
Cidade Jardim,Cidade Jardim,,,,,,1
Cidade Universitária,Cidade Universitária,,1,,,,1
Cimenrita,Cimenrita,,,,,,
Clínicas,Clínicas,fgclinicas,,,,,1
Comandante Sampaio,Comandante Sampaio,,,,,,
Comendador Ermelino,Comendador Ermelino,,1,,,,1
Conceição,Conceição,fgmaconc,,,,,1
Congonhas,Congonhas - São Paulo Airport,,,,,,
Consolação,Consolação,fgconsolacao,,,,,1
Corinthians - Itaquera,Corinthians - Itaquera,fgmaitaquera,,,1,1,1
Diadema,Diadema,,,,,,
